Subgroup,Group
東,東
冬,冬
鍾,鍾
江,江
支,支
支A,支A
支B,支B
脂,脂
脂A,脂A
脂B,脂B
之,之
微,微
魚,魚
虞,虞
模,模
齊,齊
佳,佳
皆,皆
灰,灰
咍,咍
眞,眞
眞A,眞A
眞B,眞B
諄,諄
諄A,諄A
臻,臻
文,文
欣,欣
元,元
魂,魂
痕,痕
寒,寒
桓,桓
刪,刪
山,山
先,先
仙,仙
仙A,仙A
仙B,仙B
蕭,蕭
宵,宵
宵A,宵A
宵B,宵B
肴,肴
豪,豪
歌,歌
戈,戈
麻,麻
陽,陽
唐,唐
庚,庚
耕,耕
清,清
清A,清A
青,青
蒸,蒸
登,登
尤,尤
侯,侯
幽,幽
侵,侵
侵A,侵A
侵B,侵B
覃,覃
談,談
鹽,鹽
鹽A,鹽A
鹽B,鹽B
添,添
咸,咸
銜,銜
嚴,嚴
凡,凡
祭,祭
祭A,祭A
祭B,祭B
泰,泰
夬,夬
廢,廢
屋,東
沃,冬
燭,鍾
覺,江
質,眞
質A,眞A
質B,眞B
術,諄
術A,諄A
櫛,臻
物,文
迄,欣
月,元
沒,魂
麧,痕
曷,寒
末,桓
黠,刪
鎋,山
屑,先
薛,仙
薛A,仙A
薛B,仙B
藥,陽
鐸,唐
陌,庚
麥,耕
昔,清
昔A,清A
錫,青
職,蒸
德,登
緝,侵
緝A,侵A
緝B,侵B
合,覃
盍,談
葉,鹽
葉A,鹽A
葉B,鹽B
怗,添
洽,咸
狎,銜
業,嚴
乏,凡
